Pumpen_ID;Bearbeitungstemperatur_C;Montagezeit_Min;Drehmoment_Nm;Maschinenlaufzeit_Min;Mitarbeitererfahrung_Jahre;Nacharbeit_vor_Pruefung
P0097;68.2;47.8;38.3;53.1;8.1;Nein
P0098;71.3;35.5;46.5;46.9;4.2;Nein
P0099;67.0;25.0;50.6;38.5;7.2;Nein
P0100;80.0;51.7;70.5;61.8;6.5;Nein
P0101;67.0;33.6;37.0;56.7;4.8;Nein
P0102;72.7;47.6;61.6;58.9;6.4;Nein
P0103;76.0;61.1;56.3;72.6;4.3;Nein
P0104;74.3;48.9;62.8;62.1;1.6;Nein
P0105;73.1;57.1;57.2;67.4;2.6;Nein
P0106;78.9;60.3;68.7;74.6;6.1;Nein
P0107;77.2;64.1;63.0;76.1;12.7;Nein
P0108;64.0;36.8;35.4;51.4;4.8;Nein
P0109;70.3;39.7;53.5;51.3;6.3;Nein
P0110;66.8;43.8;46.9;55.6;4.1;Nein
P0111;70.8;55.5;62.6;67.0;6.9;Nein
P0112;71.5;37.2;51.1;47.2;1.3;Nein
P0113;66.9;29.2;30.5;37.2;2.6;Nein
P0114;68.0;53.2;57.5;67.7;13.4;Nein
P0115;69.4;43.2;52.8;53.4;2.6;Nein
P0116;75.8;56.4;57.9;66.2;11.7;Nein
P0117;64.8;48.5;52.9;58.1;7.9;Nein
P0118;65.7;46.7;50.9;58.4;8.2;Nein
P0119;;37.0;34.7;48.1;7.9;Nein
P0120;73.0;47.1;54.2;56.3;2.9;Nein
P0121;75.6;42.8;49.9;54.3;2.9;Nein
P0122;75.3;41.9;48.1;52.5;6.7;Nein
P0123;71.2;31.8;53.3;45.5;5.2;Nein
P0124;74.2;45.2;51.4;54.2;2.2;Nein
P0125;72.3;45.5;58.2;57.2;11.8;Ja
P0126;81.8;50.0;62.2;65.2;3.5;Nein
P0127;66.0;43.8;47.0;57.2;5.9;Nein
P0128;68.1;36.9;38.8;47.0;2.6;Nein
P0129;65.1;33.0;43.1;43.0;11.7;Nein
P0130;73.8;43.3;47.9;53.0;0.9;Nein
P0131;62.2;34.0;40.2;45.4;5.6;Nein
P0132;75.4;47.7;58.4;54.9;2.3;Nein
P0133;77.3;52.7;63.9;66.0;4.4;Nein
P0134;81.6;59.5;62.1;73.5;5.8;Nein
P0135;65.3;28.7;41.7;46.3;9.7;Nein
P0136;70.0;52.6;63.8;67.1;5.8;Nein
P0137;72.0;31.2;46.3;43.5;5.0;Nein
P0138;73.7;53.4;56.1;63.9;2.2;Nein
P0139;76.1;51.8;54.8;66.4;5.9;Nein
P0140;74.5;53.8;53.0;63.6;6.6;Nein
P0141;81.4;60.2;61.8;70.7;8.1;Nein
P0142;74.1;52.0;54.2;61.4;0.2;Nein
P0143;64.0;40.9;41.3;55.0;7.6;Nein
P0144;74.1;47.3;45.9;60.9;4.1;Nein
P0145;84.3;50.2;64.1;61.4;4.3;Nein
P0146;66.6;42.2;48.2;54.6;8.5;Nein
P0147;69.1;39.3;47.8;51.6;3.4;Nein
P0148;74.4;58.3;52.5;75.0;10.3;Nein
P0149;69.2;40.6;44.1;55.2;3.2;Nein
P0150;71.1;51.8;68.0;65.3;4.6;Nein
P0151;77.9;66.2;61.0;76.5;6.0;Nein
P0152;79.5;50.9;64.1;65.2;6.3;Nein
P0153;78.8;46.5;53.6;58.1;4.0;Nein
P0154;73.7;50.2;58.6;64.6;4.0;Nein
P0155;64.4;31.1;39.2;41.6;7.8;Nein
P0156;66.7;29.4;40.3;42.2;4.1;Nein
P0157;73.8;43.6;51.9;55.7;8.6;Nein
P0158;73.3;53.9;55.9;65.4;0.7;Nein
P0159;66.7;47.7;63.3;63.0;5.5;Nein
P0160;70.6;34.8;47.2;44.8;1.6;Nein
P0161;76.7;44.2;55.2;53.0;8.8;Nein
P0162;70.8;40.5;39.6;50.4;10.2;Nein
P0163;76.6;52.5;64.3;62.1;8.9;Nein
P0164;78.3;44.8;62.7;58.0;5.8;Nein
P0165;79.6;40.7;52.8;54.3;9.4;Nein
P0166;64.6;34.3;45.2;46.5;9.8;Nein
P0167;71.0;44.2;62.1;57.8;4.1;Nein
P0168;71.3;47.4;61.0;58.8;7.0;Nein
P0169;72.2;53.3;58.0;62.8;11.5;Nein
P0170;77.3;53.3;47.0;64.1;3.4;Nein
P0171;65.4;30.7;37.3;45.1;8.7;Nein
P0172;69.5;35.3;40.2;42.7;6.1;Nein
P0173;70.4;39.1;54.1;50.1;6.5;Nein
P0174;83.7;63.1;64.8;74.5;2.8;Nein
P0175;74.1;37.7;42.1;53.1;4.2;Nein
P0176;73.8;52.0;55.1;66.5;7.0;Nein
P0177;75.1;46.2;47.3;57.2;3.1;Nein
P0178;79.3;64.6;69.8;71.4;5.7;Nein
P0179;77.0;48.2;53.4;58.0;4.6;Nein
P0180;75.9;43.8;51.5;53.4;3.4;Nein
P0181;64.6;36.7;42.9;47.6;6.4;Nein
P0182;68.2;47.8;46.0;66.4;7.8;Nein
P0183;75.2;49.2;51.3;57.7;14.7;Nein
P0184;79.0;49.6;57.3;58.1;3.2;Nein
P0185;70.7;31.2;44.9;44.7;1.7;Nein
P0186;65.7;40.4;40.8;54.5;9.5;Ja
P0187;71.0;45.7;43.9;56.6;5.1;Nein
P0188;76.3;65.2;65.1;74.5;4.0;Nein
P0189;74.6;42.7;47.6;58.3;6.5;Nein
P0190;71.0;33.8;45.3;44.7;7.5;Nein
P0191;77.5;54.5;64.2;65.6;3.9;Nein
P0192;82.4;41.8;50.8;57.6;7.0;Nein
P0193;74.6;59.3;66.0;72.4;5.4;Ja
P0194;78.0;51.6;66.1;61.5;0.4;Nein
P0195;76.7;38.0;41.0;47.0;3.2;Nein
P0196;73.8;61.9;64.8;74.0;6.8;Nein
P0197;70.8;33.5;44.2;44.0;3.6;Nein
P0198;72.3;44.2;47.6;59.3;9.4;Nein
P0199;79.1;49.1;49.1;57.7;9.9;Nein
P0200;108.2;47.9;31.0;64.0;1.5;Nein
P0201;72.0;35.2;46.4;46.8;4.0;Nein
P0202;70.6;49.3;46.4;59.8;6.9;Nein
P0203;82.9;59.2;65.1;73.5;0.9;Nein
P0204;73.8;47.2;52.6;54.8;5.9;Nein
P0205;75.1;54.9;51.4;64.9;0.2;Nein
P0206;76.8;59.1;55.2;69.6;8.8;Nein
P0207;68.9;35.4;41.4;47.8;6.5;Ja
P0208;68.9;49.5;44.3;58.8;6.0;Nein
P0209;80.0;71.4;62.9;83.7;5.1;Nein
P0210;65.7;37.5;42.5;50.0;3.0;Nein
P0211;76.7;55.7;69.1;66.6;4.9;Nein
P0212;72.7;47.1;59.2;65.1;0.2;Nein
P0213;61.6;35.0;39.8;48.7;11.1;Nein
P0214;72.5;58.6;68.2;74.4;7.9;Nein
P0215;77.1;48.9;60.3;61.4;5.1;Nein
P0216;70.8;54.5;61.2;71.3;4.8;Nein
P0217;85.8;58.4;63.9;71.6;5.3;Nein
P0218;85.9;58.9;55.3;67.1;10.1;Nein
P0219;66.7;31.6;40.5;42.6;6.2;Nein
P0220;67.2;31.0;46.0;43.9;7.3;Nein
P0221;65.8;30.6;44.7;42.3;10.7;Nein
P0222;72.0;43.4;47.7;57.9;1.1;Nein
P0223;73.6;50.8;70.1;65.8;12.2;Nein
P0224;77.8;44.5;61.1;54.3;0.2;Nein
P0225;69.1;49.1;55.3;58.9;5.0;Nein
P0226;80.9;49.9;69.6;63.5;6.0;Nein
P0227;68.5;39.8;36.9;51.9;8.0;Nein
P0228;73.5;33.2;47.1;49.6;1.6;Nein
P0229;66.9;36.7;45.2;46.6;7.7;Nein
P0230;79.0;60.5;62.5;69.1;10.0;Nein
P0231;73.0;31.0;46.5;40.6;8.0;Nein
P0232;74.7;60.7;64.3;78.0;8.1;Nein
P0233;69.9;34.6;51.6;45.8;3.5;Nein
P0234;70.9;40.6;51.0;51.3;5.1;Nein
P0235;71.0;37.1;42.0;48.3;6.0;Nein
P0236;67.3;32.2;43.3;49.1;8.1;Nein
P0237;71.8;50.0;59.5;54.4;5.0;Nein
P0238;74.6;42.2;50.9;53.9;9.1;Nein
P0239;77.7;48.4;58.5;58.7;2.6;Nein
P0240;74.8;37.4;34.9;51.6;2.3;Nein
P0241;78.4;53.6;67.2;62.6;11.7;Nein
P0242;77.9;48.1;64.5;60.7;1.0;Nein
P0243;79.4;53.0;53.7;63.6;5.8;Nein
P0244;80.0;52.7;55.4;67.5;4.4;Nein
P0245;75.8;40.7;56.6;56.8;3.6;Nein
P0246;66.8;40.9;44.1;53.9;5.2;Nein
P0247;71.7;27.2;52.3;35.2;1.8;Nein
P0248;66.6;40.0;39.8;50.3;2.2;Nein
P0249;71.5;41.1;44.8;50.7;3.9;Nein
P0250;78.1;58.9;70.1;71.3;9.4;Nein
P0251;73.9;52.5;49.7;62.0;2.0;Nein
P0252;77.4;61.0;53.1;66.4;5.2;Nein
P0253;67.5;43.0;59.4;57.5;3.4;Nein
P0254;67.9;41.5;53.5;51.5;1.9;Nein
P0255;69.2;39.4;41.6;49.9;6.2;Nein
P0256;72.4;43.0;46.4;55.9;7.7;Nein
P0257;58.5;39.9;43.4;50.6;7.5;Nein
P0258;68.4;39.9;43.8;53.2;7.8;Nein
P0259;72.3;50.3;52.8;58.9;9.6;Nein
P0260;68.5;41.6;50.4;49.0;6.8;Nein
P0261;75.6;56.8;71.1;69.0;4.5;Nein
P0262;77.1;52.8;66.8;61.5;2.9;Nein
P0263;77.4;51.3;51.9;63.0;6.8;Nein
P0264;67.0;36.9;53.2;47.6;4.1;Nein
P0265;74.1;59.5;62.1;68.5;2.7;Nein
P0266;67.4;28.7;39.2;39.3;6.4;Nein
P0267;70.6;23.2;46.6;31.3;1.4;Nein
P0268;77.9;59.2;58.5;64.1;4.5;Nein
P0269;80.6;55.3;54.8;67.7;7.4;Nein
P0270;71.5;35.0;42.3;45.5;12.1;Nein
P0271;77.2;55.8;46.5;67.5;5.5;Nein
P0272;70.2;43.5;55.2;55.7;4.5;Nein
P0273;65.3;41.1;39.7;55.3;1.8;Nein
P0274;75.6;54.1;56.3;66.9;8.8;Nein
P0275;72.5;59.0;63.0;71.9;3.0;Nein
P0276;81.5;67.7;62.8;83.3;0.6;Nein
P0277;;34.8;43.9;47.5;5.9;Nein
P0278;76.1;52.5;51.8;66.1;5.4;Nein
P0279;80.5;62.2;73.0;77.7;3.8;Nein
P0280;61.7;37.1;46.0;47.6;10.3;Nein
P0281;74.7;58.4;68.5;71.8;4.0;Ja
P0282;66.3;43.1;43.4;51.2;6.6;Nein
P0283;73.3;49.7;59.5;57.8;4.7;Nein
P0284;66.9;29.5;41.1;43.0;6.1;Nein
P0285;68.8;29.3;38.3;44.6;6.7;Nein
P0286;76.9;51.9;50.0;69.1;0.9;Ja
P0287;76.4;56.9;69.9;67.5;5.4;Nein
P0288;72.1;41.0;43.0;53.1;6.2;Nein
P0289;74.3;41.6;40.1;48.6;7.0;Nein
P0290;74.0;38.6;47.3;51.5;4.9;Nein
P0291;75.3;55.7;57.9;67.8;3.6;Nein
P0292;75.5;53.4;55.4;66.8;9.1;Nein
P0293;63.5;35.4;41.1;46.9;6.4;Ja
P0294;76.5;42.0;62.5;55.5;0.7;Nein
P0295;71.0;36.8;53.9;51.5;3.4;Nein
P0296;74.3;38.4;56.8;50.3;1.9;Nein
P0297;71.1;42.0;52.8;54.5;7.1;Nein
P0298;81.5;65.1;64.8;78.4;2.8;Nein
P0299;79.2;51.2;59.2;60.2;3.4;Nein
P0300;77.6;51.4;55.3;60.0;10.7;Nein
P0301;73.3;33.5;40.6;44.9;0.7;Nein
P0302;71.3;36.3;51.1;51.1;2.0;Nein
P0303;69.6;44.4;47.1;60.1;5.7;Nein
P0304;73.8;45.1;57.6;54.9;9.3;Ja
P0305;63.7;32.9;47.4;44.7;4.1;Nein
P0306;66.1;37.6;45.1;46.0;5.9;Nein
P0307;78.5;63.4;58.3;77.2;7.7;Nein
P0308;72.7;35.5;55.3;43.2;5.8;Nein
P0309;72.7;45.2;54.7;55.8;3.9;Nein
P0310;67.7;33.6;42.7;46.6;0.8;Nein
P0311;77.3;46.4;50.3;57.0;7.5;Nein
P0312;63.6;34.9;41.2;44.1;;Nein
P0313;74.7;39.6;49.0;51.1;2.8;Nein
P0314;70.8;46.6;62.4;54.9;2.2;Nein
P0315;68.8;44.5;51.8;53.6;1.8;Nein
P0316;67.9;40.6;49.6;53.2;0.2;Nein
P0317;72.8;43.2;62.7;57.6;4.3;Nein
P0318;72.2;46.1;39.4;59.4;5.9;Nein
P0319;73.3;50.6;46.4;63.1;9.1;Nein
P0320;76.9;44.1;59.5;54.0;6.3;Nein
P0321;73.4;51.0;58.4;60.4;9.9;Nein
P0322;70.3;38.7;33.2;47.1;4.2;Nein
P0323;77.0;40.9;44.3;53.1;0.2;Nein
P0324;71.3;35.0;39.7;50.3;5.2;Nein
P0325;70.3;35.2;52.1;47.5;4.2;Nein
P0326;73.7;40.9;49.7;47.3;4.0;Nein
P0327;74.4;56.1;55.9;67.7;4.0;Nein
P0328;75.3;46.3;55.9;58.0;4.9;Nein
P0329;73.2;43.7;54.2;55.3;7.5;Ja
P0330;74.1;44.5;50.6;51.6;10.5;Nein
P0331;79.1;52.3;48.5;63.8;1.8;Nein
P0332;76.8;41.0;45.3;53.9;8.1;Nein
P0333;71.5;40.1;55.3;49.7;4.3;Nein
P0334;75.8;56.7;61.2;74.9;2.6;Nein
P0335;69.7;43.7;49.6;54.4;4.4;Nein
P0336;63.3;30.3;36.3;44.3;3.4;Nein
P0337;69.0;41.6;44.7;50.4;3.5;Nein
P0338;74.9;58.7;55.8;71.3;7.3;Nein
P0339;76.6;57.5;57.1;72.2;4.6;Nein
P0340;74.2;61.0;66.5;74.8;8.0;Nein
P0341;72.2;46.6;67.3;59.9;7.5;Nein
P0342;72.7;46.3;44.3;58.3;4.9;Nein
P0343;70.5;35.9;53.7;44.1;4.8;Nein
P0344;68.8;42.9;57.5;54.9;0.2;Nein
P0345;67.7;42.0;38.0;52.2;4.1;Nein
P0346;62.4;28.3;41.6;35.9;4.2;Nein
P0347;74.8;33.9;39.1;47.4;2.9;Nein
P0348;62.3;38.8;44.3;49.8;4.3;Nein
P0349;78.0;46.5;61.6;57.6;10.7;Nein
P0350;68.2;102.4;53.0;54.9;5.9;Nein
P0351;75.0;44.3;51.9;55.1;4.3;Nein
P0352;73.3;48.3;47.0;63.2;6.1;Nein
P0353;68.5;36.7;44.3;48.4;2.1;Nein
P0354;67.2;26.4;46.1;38.8;5.4;Nein
P0355;66.8;46.6;50.5;57.5;5.9;Nein
P0356;72.8;65.3;62.4;82.2;5.7;Nein
P0357;70.6;31.5;42.4;44.2;15.4;Nein
P0358;73.5;51.8;49.4;60.8;6.5;Nein
P0359;80.9;51.3;56.1;61.8;5.2;Nein
P0360;72.3;48.1;60.2;60.9;2.5;Nein
P0361;73.5;47.6;49.1;64.6;6.9;Nein
P0362;74.3;50.3;62.9;60.2;3.5;Nein
P0363;66.5;28.7;41.0;36.7;10.3;Nein
P0364;80.1;68.4;64.5;78.4;7.4;Nein
P0365;71.1;57.8;58.1;68.9;5.1;Nein
P0366;78.9;55.8;67.9;69.2;5.8;Nein
P0367;65.5;38.9;43.1;53.6;5.2;Nein
P0368;74.1;49.4;57.3;59.5;2.1;Nein
P0369;68.0;40.3;43.4;59.1;11.8;Nein
P0370;75.5;45.1;58.3;60.9;10.4;Nein
P0371;68.0;33.9;36.2;47.3;7.7;Nein
P0372;76.7;63.8;70.1;74.5;7.0;Nein
P0373;76.8;58.8;68.0;74.2;9.8;Nein
P0374;70.1;53.7;46.3;65.6;8.2;Nein
P0375;80.5;44.9;51.2;56.5;8.1;Ja
P0376;63.5;34.1;39.5;53.7;4.0;Nein
P0377;67.5;39.4;40.1;49.3;1.6;Nein
P0378;75.6;53.3;62.7;64.2;7.5;Nein
P0379;71.1;51.7;59.5;68.3;1.3;Nein
P0380;74.7;50.0;38.0;61.0;4.0;Nein
P0381;78.8;55.7;63.1;68.8;6.0;Nein
P0382;75.8;37.9;59.2;47.7;2.8;Nein
P0383;69.5;45.6;45.8;58.8;6.8;Nein
P0384;74.5;50.4;54.6;70.9;2.8;Nein
P0385;75.9;59.0;57.0;74.4;6.6;Nein
P0386;77.4;55.2;57.5;69.0;9.1;Ja
P0387;67.6;29.6;51.4;38.9;5.4;Nein
P0388;76.5;51.3;57.1;62.3;7.0;Nein
P0389;70.4;48.7;48.8;62.0;7.1;Nein
P0390;67.1;27.5;45.1;35.6;3.9;Nein
P0391;59.6;33.1;43.4;47.3;5.4;Nein
P0392;73.7;37.7;39.9;50.5;9.8;Nein
P0393;69.2;40.3;49.6;51.6;8.5;Nein
P0394;74.3;43.9;56.1;48.3;7.9;Ja
P0395;78.3;62.2;64.2;75.7;5.7;Nein
P0396;76.0;52.7;55.6;63.2;8.7;Nein
P0397;73.7;37.0;45.0;50.9;4.8;Nein
P0398;70.9;51.4;70.8;67.4;5.1;Nein
P0399;72.2;49.8;56.3;62.2;3.3;Nein
P0400;101.7;27.7;38.0;39.2;3.1;Nein
P0401;68.9;44.9;47.2;59.2;9.2;Nein
P0402;65.4;28.6;38.4;39.1;7.7;Nein
P0403;74.5;40.0;50.0;51.3;7.6;Nein
P0404;76.5;51.7;57.6;64.2;4.0;Nein
P0405;70.8;50.0;62.2;64.6;3.7;Nein
P0406;73.6;49.8;48.7;65.6;6.9;Nein
P0407;66.4;31.5;43.2;40.5;3.6;Nein
P0408;69.9;47.4;41.8;56.1;8.9;Nein
P0409;74.6;40.4;52.1;55.6;9.1;Nein
P0410;74.8;45.9;47.3;58.7;0.2;Nein
P0411;68.2;33.3;44.4;43.8;5.2;Nein
P0412;78.5;45.5;54.1;51.1;7.6;Nein
P0413;71.3;44.3;50.6;58.7;0.5;Nein
P0414;67.7;48.0;50.3;59.5;9.5;Nein
P0415;78.0;45.7;55.5;57.2;5.1;Nein
P0416;74.5;52.4;66.4;61.4;11.4;Nein
P0417;74.8;48.4;55.2;63.6;7.4;Nein
P0418;70.1;40.0;48.5;51.0;6.0;Nein
P0419;75.0;54.9;61.0;72.5;11.4;Nein
P0420;82.2;58.1;56.4;69.1;7.3;Nein
P0421;70.1;47.7;54.7;64.0;0.2;Nein
P0422;64.7;40.5;41.5;52.7;7.3;Nein
P0423;71.1;50.8;53.9;60.1;7.0;Nein
P0424;67.1;37.2;40.5;49.5;4.7;Nein
P0425;72.9;52.5;65.7;67.1;7.5;Nein
P0426;78.4;52.9;57.0;61.8;12.4;Ja
P0427;76.4;45.7;52.0;60.8;4.6;Nein
P0428;71.6;41.3;47.8;49.1;2.3;Nein
P0429;82.5;50.5;53.2;56.4;3.3;Nein
P0430;71.0;33.5;40.2;46.7;11.4;Nein
P0431;69.4;25.8;45.9;35.4;4.6;Nein
P0432;69.8;41.5;45.5;55.5;9.9;Nein
P0433;71.1;63.7;56.8;73.4;5.5;Nein
P0434;68.4;47.2;50.1;58.7;5.3;Nein
P0435;75.0;45.7;63.6;55.0;5.8;Nein
P0436;64.1;39.1;41.8;46.3;3.7;Nein
P0437;73.3;47.0;62.0;59.5;6.9;Nein
P0438;73.8;44.6;57.3;56.6;3.4;Nein
P0439;66.6;33.4;41.0;48.8;1.5;Nein
P0440;76.6;46.8;54.0;59.3;8.1;Nein
P0441;63.5;39.0;41.4;48.1;0.2;Nein
P0442;68.9;37.6;35.8;49.8;8.8;Nein
P0443;69.0;30.7;43.9;44.2;2.3;Nein
P0444;75.8;49.0;55.9;59.2;10.4;Nein
P0445;69.6;33.4;41.0;48.6;0.6;Nein
P0446;71.9;55.0;60.9;68.5;5.6;Nein
P0447;70.8;32.4;43.9;44.8;10.9;Nein
P0448;79.7;48.9;64.7;55.2;0.2;Nein
P0449;71.2;52.1;53.7;61.4;3.1;Nein
P0450;73.0;57.2;66.9;72.7;4.5;Nein
P0451;70.8;47.9;54.2;63.5;8.6;Nein
P0452;74.6;59.1;59.8;67.5;7.4;Nein
P0453;64.6;35.8;39.1;50.5;2.4;Nein
P0454;74.0;46.1;49.6;56.5;3.8;Nein
P0455;82.0;66.5;68.0;78.9;0.2;Nein
P0456;74.6;40.7;52.3;54.7;7.6;Nein
P0457;67.6;43.3;43.3;57.2;3.1;Nein
P0458;78.3;42.2;44.4;51.8;4.5;Nein
P0459;72.3;40.5;52.0;51.7;10.7;Nein
P0460;72.9;52.7;62.2;65.2;4.5;Nein
P0461;78.0;53.2;57.3;62.8;6.9;Nein
P0462;66.8;36.6;45.6;49.9;2.6;Nein
P0463;75.9;62.8;70.3;77.0;7.8;Nein
P0464;70.9;57.0;58.1;69.0;1.5;Nein
P0465;70.0;46.8;51.4;59.9;3.2;Nein
P0466;74.2;64.3;55.9;79.1;5.1;Nein
P0467;77.3;51.8;67.2;59.6;6.2;Nein
P0468;77.6;51.7;56.4;65.2;10.4;Nein
P0469;79.6;55.3;56.6;63.4;14.1;Nein
P0470;74.0;47.4;64.3;57.0;9.1;Nein
P0471;69.2;40.7;65.8;55.0;0.2;Nein
P0472;75.7;52.2;58.5;65.3;4.9;Nein
P0473;62.2;36.1;37.9;45.8;4.3;Nein
P0474;75.4;41.0;48.7;52.4;6.2;Nein
P0475;75.2;52.3;65.0;67.1;9.6;Nein
P0476;80.2;44.7;47.0;57.4;6.0;Nein
P0477;68.3;33.3;40.6;48.3;10.4;Nein
P0478;70.5;40.5;43.4;52.2;7.5;Nein
P0479;68.9;47.7;54.7;58.8;3.9;Nein
P0480;67.2;22.7;39.2;39.0;6.0;Nein
P0481;68.8;35.3;42.7;49.1;9.1;Nein
P0482;76.4;49.6;60.7;60.6;5.8;Nein
P0483;79.6;56.9;63.6;70.9;0.2;Nein
P0484;77.5;39.9;50.4;53.1;1.1;Nein
P0485;69.3;34.5;47.2;46.6;0.2;Nein
P0486;71.4;43.2;53.3;56.8;3.1;Nein
P0487;73.5;51.2;49.1;64.1;7.5;Nein
P0488;66.1;43.7;40.9;53.5;2.6;Nein
P0489;72.4;31.4;47.1;43.7;12.9;Nein
P0490;67.3;36.8;44.1;46.2;8.4;Nein
P0491;75.2;62.4;64.6;71.6;6.2;Nein
P0492;73.1;41.6;46.7;55.9;6.0;Nein
P0493;68.5;36.7;44.8;48.2;6.0;Nein
