Pumpen_ID;Pruefdruck_bar;Dichtheitsverlust_bar;Vibration_mm_s;Pruefergebnis;Fehlerart;Ausschusskosten_EUR
P0084;8.72;0.22;3.99;Nacharbeit;Unzureichender Prüfdruck;283.7
P0085;9.7;0.12;2.46;Bestanden;Kein Fehler;0.0
P0086;10.38;0.12;3.28;Bestanden;Kein Fehler;0.0
P0087;10.3;0.15;3.18;Bestanden;Kein Fehler;0.0
P0088;10.36;0.13;3.5;Bestanden;Kein Fehler;0.0
P0089;9.95;0.09;3.99;Bestanden;Kein Fehler;0.0
P0090;10.2;0.15;3.13;Bestanden;Kein Fehler;0.0
P0091;10.52;0.15;3.69;Bestanden;Kein Fehler;0.0
P0092;10.46;0.07;3.67;Bestanden;Kein Fehler;0.0
P0093;10.65;0.22;3.23;Bestanden;Kein Fehler;0.0
P0094;11.25;0.14;1.52;Bestanden;Kein Fehler;0.0
P0095;10.52;0.12;2.54;Bestanden;Kein Fehler;0.0
P0096;10.11;0;4.64;Bestanden;Kein Fehler;0.0
P0097;10.75;0.58;3.06;Ausschuss;Undichtigkeit;1895.42
P0098;10.22;0.06;2.8;Bestanden;Kein Fehler;0.0
P0099;10.62;0.18;1.22;Bestanden;Kein Fehler;0.0
P0100;9.98;0.19;3.68;Bestanden;Kein Fehler;0.0
P0101;9.96;0.26;3.58;Bestanden;Kein Fehler;0.0
P0102;10.42;0.15;3.29;Bestanden;Kein Fehler;0.0
P0103;11.03;0.15;2.67;Bestanden;Kein Fehler;0.0
P0104;10.2;0.07;2.22;Bestanden;Kein Fehler;0.0
P0105;10.75;0.15;2.36;Bestanden;Kein Fehler;0.0
P0106;10.61;0;3.62;Bestanden;Kein Fehler;0.0
P0107;10.66;0.13;3.39;Bestanden;Kein Fehler;0.0
P0108;9.74;0.08;2.62;Bestanden;Kein Fehler;0.0
P0109;10.11;0.14;3.54;Bestanden;Kein Fehler;0.0
P0110;10.33;0.1;3.36;Bestanden;Kein Fehler;0.0
P0111;8.92;0.56;5.44;Ausschuss;Erhöhte Vibration;2918.02
P0112;10.19;0.07;3.13;Bestanden;Kein Fehler;0.0
P0113;10.56;0.05;2.63;Bestanden;Kein Fehler;0.0
P0114;10.04;0.09;2.1;Bestanden;Kein Fehler;0.0
P0115;11.0;0.61;5.08;Nacharbeit;Materialfehler;467.67
P0116;10.81;0.16;3.14;Bestanden;Kein Fehler;0.0
P0117;11.6;0.14;2.65;Bestanden;Kein Fehler;0.0
P0118;9.82;0.15;2.41;Bestanden;Kein Fehler;0.0
P0119;10.9;0.07;3.72;Bestanden;Kein Fehler;0.0
P0120;10.77;0.26;3.84;Bestanden;Kein Fehler;0.0
P0121;9.93;0.1;3.42;Bestanden;Kein Fehler;0.0
P0122;10.69;0.05;3.21;Bestanden;Kein Fehler;0.0
P0123;9.23;0.02;3.96;Nacharbeit;Unzureichender Prüfdruck;199.42
P0124;10.46;0.15;1.82;Bestanden;Kein Fehler;0.0
P0125;10.94;0.13;1.7;Bestanden;Kein Fehler;0.0
P0126;10.02;0.15;3.53;Bestanden;Kein Fehler;0.0
P0127;11.0;0.19;2.02;Bestanden;Kein Fehler;0.0
P0128;8.75;0;5.39;Nacharbeit;Erhöhte Vibration;531.31
P0129;9.58;0.11;3.62;Bestanden;Kein Fehler;0.0
P0130;10.39;0.15;3.54;Bestanden;Kein Fehler;0.0
P0131;10.8;0.14;2.57;Bestanden;Kein Fehler;0.0
P0132;10.31;0.13;2.77;Bestanden;Kein Fehler;0.0
P0133;10.83;0.1;3.37;Bestanden;Kein Fehler;0.0
P0134;10.75;0.07;2.48;Bestanden;Kein Fehler;0.0
P0135;10.37;0.13;2.42;Bestanden;Kein Fehler;0.0
P0136;10.52;0.15;2.95;Bestanden;Kein Fehler;0.0
P0137;10.54;0.1;3.55;Bestanden;Kein Fehler;0.0
P0138;11.13;0.08;2.92;Bestanden;Kein Fehler;0.0
P0139;10.52;0.02;3.26;Bestanden;Kein Fehler;0.0
P0140;10.55;0.11;2.73;Bestanden;Kein Fehler;0.0
P0141;9.95;0.11;1.65;Bestanden;Kein Fehler;0.0
P0142;9.83;0.13;2.1;Bestanden;Kein Fehler;0.0
P0143;10.66;0.15;3.33;Bestanden;Kein Fehler;0.0
P0144;10.48;0.03;2.15;Bestanden;Kein Fehler;0.0
P0145;10.67;0.18;3.07;Bestanden;Kein Fehler;0.0
P0146;10.52;0.16;2.27;Bestanden;Kein Fehler;0.0
P0147;10.74;0.22;2.57;Bestanden;Kein Fehler;0.0
P0148;10.62;0.15;1.63;Bestanden;Kein Fehler;0.0
P0149;10.84;0;2.48;Bestanden;Kein Fehler;0.0
P0150;10.27;0.07;2.06;Bestanden;Kein Fehler;0.0
P0151;10.93;0.11;2.45;Bestanden;Kein Fehler;0.0
P0152;9.17;0.19;4.11;Nacharbeit;Montagefehler;143.68
P0153;10.91;0.09;2.5;Bestanden;Kein Fehler;0.0
P0154;9.73;0.06;2.66;Bestanden;Kein Fehler;0.0
P0155;9.99;0.1;3.66;Bestanden;Kein Fehler;0.0
P0156;10.69;0;0.59;Bestanden;Kein Fehler;0.0
P0157;9.44;0.1;2.18;Bestanden;Kein Fehler;0.0
P0158;10.7;0.14;3.01;Bestanden;Kein Fehler;0.0
P0159;10.12;0.06;3.77;Bestanden;Kein Fehler;0.0
P0160;9.97;0.05;2.46;Bestanden;Kein Fehler;0.0
P0161;10.88;0.39;2.71;Nacharbeit;Undichtigkeit;190.33
P0162;10.87;0.12;1.8;Bestanden;Kein Fehler;0.0
P0163;10.72;0.13;3.3;Bestanden;Kein Fehler;0.0
P0164;10.43;0;3.34;Bestanden;Kein Fehler;0.0
P0165;10.01;0.2;2.34;Ausschuss;Unzureichender Prüfdruck;2016.0
P0166;11.11;0.12;3.08;Bestanden;Kein Fehler;0.0
P0167;10.33;0.12;1.34;Bestanden;Kein Fehler;0.0
P0168;10.78;0.05;2.28;Bestanden;Kein Fehler;0.0
P0169;10.82;0.17;3.3;Bestanden;Kein Fehler;0.0
P0170;9.8;0.14;2.83;Bestanden;Kein Fehler;0.0
P0171;10.78;0.09;3.52;Bestanden;Kein Fehler;0.0
P0172;10.37;0.04;3.06;Bestanden;Kein Fehler;0.0
P0173;9.8;0.13;2.3;Bestanden;Kein Fehler;0.0
P0174;10.62;0.09;3.17;Bestanden;Kein Fehler;0.0
P0175;10.67;0;2.33;Bestanden;Kein Fehler;0.0
P0176;10.34;0.14;2.73;Bestanden;Kein Fehler;0.0
P0177;10.15;0.13;2.38;Bestanden;Kein Fehler;0.0
P0178;10.49;0.12;2.5;Bestanden;Kein Fehler;0.0
P0179;9.36;0.77;5.38;Nacharbeit;Undichtigkeit;159.66
P0180;10.6;0.12;2.49;Bestanden;Kein Fehler;0.0
P0181;10.14;0.15;4.05;Bestanden;Kein Fehler;0.0
P0182;9.29;0.57;3.51;Nacharbeit;Undichtigkeit;152.68
P0183;11.2;0.13;2.53;Bestanden;Kein Fehler;0.0
P0184;10.82;0.11;3.5;Bestanden;Kein Fehler;0.0
P0185;10.81;0.2;2.77;Bestanden;Kein Fehler;0.0
P0186;10.6;0.1;3.96;Bestanden;Kein Fehler;0.0
P0187;9.74;0.18;2.73;Bestanden;Kein Fehler;0.0
P0188;10.4;0.18;1.2;Bestanden;Kein Fehler;0.0
P0189;10.11;0.13;2.63;Bestanden;Kein Fehler;0.0
P0190;10.73;0.22;2.44;Bestanden;Kein Fehler;0.0
P0191;11.14;0.26;2.3;Bestanden;Kein Fehler;0.0
P0192;10.4;0.16;2.76;Bestanden;Kein Fehler;0.0
P0193;10.71;0.1;1.1;Bestanden;Kein Fehler;0.0
P0194;10.38;0.68;4.56;Ausschuss;Undichtigkeit;3208.62
P0195;9.21;0.43;5.64;Ausschuss;Erhöhte Vibration;2340.69
P0196;10.5;0.09;2.84;Bestanden;Kein Fehler;0.0
P0197;10.15;0.13;2.98;Bestanden;Kein Fehler;0.0
P0198;10.39;0.15;2.18;Bestanden;Kein Fehler;0.0
P0199;10.03;0.19;3.55;Bestanden;Kein Fehler;0.0
P0200;9.89;0.14;2.68;Bestanden;Kein Fehler;0.0
P0201;10.63;0.25;2.25;Bestanden;Kein Fehler;0.0
P0202;10.9;0.07;3.18;Bestanden;Kein Fehler;0.0
P0203;10.54;0.23;4.11;Bestanden;Kein Fehler;0.0
P0204;9.6;0.15;3.27;Bestanden;Kein Fehler;0.0
P0205;10.77;0.15;2.11;Bestanden;Kein Fehler;0.0
P0206;11.32;0.11;3.43;Bestanden;Kein Fehler;0.0
P0207;9.75;0.07;2.1;Bestanden;Kein Fehler;0.0
P0208;10.87;0.11;2.76;Bestanden;Kein Fehler;0.0
P0209;10.89;0.2;2.52;Bestanden;Kein Fehler;0.0
P0210;10.51;0.11;1.94;Bestanden;Kein Fehler;0.0
P0211;10.76;0.1;3.51;Bestanden;Kein Fehler;0.0
P0212;10.95;0.09;2.87;Bestanden;Kein Fehler;0.0
P0213;10.79;0.05;3.26;Bestanden;Kein Fehler;0.0
P0214;10.51;0.13;2.05;Bestanden;Kein Fehler;0.0
P0215;10.55;0.15;3.71;Bestanden;Kein Fehler;0.0
P0216;10.86;0.05;3.96;Bestanden;Kein Fehler;0.0
P0217;10.26;0.15;3.34;Bestanden;Kein Fehler;0.0
P0218;10.59;0.05;2.58;Bestanden;Kein Fehler;0.0
P0219;10.31;0.14;3.0;Bestanden;Kein Fehler;0.0
P0220;11.07;0.53;2.95;Ausschuss;Unzureichender Prüfdruck;2639.46
P0221;10.76;0.06;3.55;Bestanden;Kein Fehler;0.0
P0222;9.86;0.14;3.4;Bestanden;Kein Fehler;0.0
P0223;10.89;0.03;2.17;Bestanden;Kein Fehler;0.0
P0224;9.61;0.61;4.16;Nacharbeit;Unzureichender Prüfdruck;398.15
P0225;9.99;0.19;3.78;Bestanden;Kein Fehler;0.0
P0226;11.69;0.08;2.28;Bestanden;Kein Fehler;0.0
P0227;10.43;0.35;3.15;Ausschuss;Undichtigkeit;1691.95
P0228;10.08;0.19;3.35;Bestanden;Kein Fehler;0.0
P0229;9.83;0.13;3.11;Bestanden;Kein Fehler;0.0
P0230;11.16;0;2.76;Bestanden;Kein Fehler;0.0
P0231;11.23;0.08;2.45;Bestanden;Kein Fehler;0.0
P0232;10.97;0.16;2.12;Bestanden;Kein Fehler;0.0
P0233;9.31;0.06;2.02;Bestanden;Kein Fehler;0.0
P0234;10.53;0.14;2.87;Bestanden;Kein Fehler;0.0
P0235;10.31;0.19;2.0;Bestanden;Kein Fehler;0.0
P0236;9.91;0.32;2.8;Ausschuss;Undichtigkeit;3162.31
P0237;10.77;0.15;3.49;Bestanden;Kein Fehler;0.0
P0238;10.24;0.15;2.34;Bestanden;Kein Fehler;0.0
P0239;10.38;0.09;2.3;Bestanden;Kein Fehler;0.0
P0240;10.09;0.06;4.11;Bestanden;Kein Fehler;0.0
P0241;10.76;0.15;2.67;Bestanden;Kein Fehler;0.0
P0242;10.34;0.03;1.57;Bestanden;Kein Fehler;0.0
P0243;10.84;0.11;2.85;Bestanden;Kein Fehler;0.0
P0244;11.16;0.17;2.52;Bestanden;Kein Fehler;0.0
P0245;11.4;0.03;1.49;Bestanden;Kein Fehler;0.0
P0246;9.78;0.14;2.51;Bestanden;Kein Fehler;0.0
P0247;10.21;0.52;2.86;Nacharbeit;Undichtigkeit;295.35
P0248;10.21;0.11;2.83;Bestanden;Kein Fehler;0.0
P0249;10.8;0.03;2.02;Bestanden;Kein Fehler;0.0
P0250;10.62;0.18;2.34;Bestanden;Kein Fehler;0.0
P0251;10.62;0.06;1.72;Bestanden;Kein Fehler;0.0
P0252;9.98;0.1;2.82;Bestanden;Kein Fehler;0.0
P0253;11.13;0.14;2.36;Bestanden;Kein Fehler;0.0
P0254;11.22;0.06;2.33;Bestanden;Kein Fehler;0.0
P0255;11.32;0.08;2.86;Bestanden;Kein Fehler;0.0
P0256;10.62;0.06;2.31;Bestanden;Kein Fehler;0.0
P0257;9.97;0.16;3.67;Bestanden;Kein Fehler;0.0
P0258;10.09;0.18;3.22;Bestanden;Kein Fehler;0.0
P0259;10.03;0.11;2.94;Bestanden;Kein Fehler;0.0
P0260;10.64;0.15;2.39;Bestanden;Kein Fehler;0.0
P0261;10.14;0.09;2.39;Bestanden;Kein Fehler;0.0
P0262;10.92;0.07;3.64;Bestanden;Kein Fehler;0.0
P0263;9.08;0.04;4.44;Nacharbeit;Erhöhte Vibration;556.33
P0264;9.52;0.35;5.04;Nacharbeit;Montagefehler;125.68
P0265;10.79;0.33;4.88;Nacharbeit;Undichtigkeit;334.89
P0266;10.2;0.12;2.84;Bestanden;Kein Fehler;0.0
P0267;10.19;0.13;1.71;Bestanden;Kein Fehler;0.0
P0268;10.21;0.11;2.79;Bestanden;Kein Fehler;0.0
P0269;10.28;0.18;2.39;Bestanden;Kein Fehler;0.0
P0270;10.83;0.59;3.49;Ausschuss;Montagefehler;1865.11
P0271;10.26;0.13;2.74;Bestanden;Kein Fehler;0.0
P0272;10.64;0.14;3.27;Bestanden;Kein Fehler;0.0
P0273;10.68;0.16;1.84;Bestanden;Kein Fehler;0.0
P0274;10.11;0.07;2.84;Bestanden;Kein Fehler;0.0
P0275;10.94;0.15;2.84;Bestanden;Kein Fehler;0.0
P0276;10.56;0.1;3.69;Bestanden;Kein Fehler;0.0
P0277;10.89;0.09;2.39;Bestanden;Kein Fehler;0.0
P0278;11.24;0.1;2.98;Bestanden;Kein Fehler;0.0
P0279;10.71;0.17;3.37;Bestanden;Kein Fehler;0.0
P0280;11.32;0.02;3.09;Bestanden;Kein Fehler;0.0
P0281;10.64;0.12;2.45;Bestanden;Kein Fehler;0.0
P0282;9.96;0.08;2.99;Bestanden;Kein Fehler;0.0
P0283;10.16;0.12;3.22;Bestanden;Kein Fehler;0.0
P0284;10.48;0.17;3.29;Bestanden;Kein Fehler;0.0
P0285;10.54;0.11;3.45;Bestanden;Kein Fehler;0.0
P0286;10.76;0.13;2.02;Bestanden;Kein Fehler;0.0
P0287;11.14;0.15;2.46;Bestanden;Kein Fehler;0.0
P0288;10.0;0.15;3.0;Bestanden;Kein Fehler;0.0
P0289;10.73;0.12;1.62;Bestanden;Kein Fehler;0.0
P0290;10.22;0.11;2.28;Bestanden;Kein Fehler;0.0
P0291;9.48;0.27;3.27;Ausschuss;Montagefehler;2774.61
P0292;10.88;0.13;2.95;Bestanden;Kein Fehler;0.0
P0293;11.2;0.04;1.56;Bestanden;Kein Fehler;0.0
P0294;9.79;0.47;3.94;Nacharbeit;Undichtigkeit;242.44
P0295;10.89;0.14;3.16;Bestanden;Kein Fehler;0.0
P0296;10.83;0.12;3.62;Bestanden;Kein Fehler;0.0
P0297;10.04;0.28;4.85;Ausschuss;Materialfehler;2905.96
P0298;10.94;0.17;3.16;Bestanden;Kein Fehler;0.0
P0299;10.29;0.14;2.9;Bestanden;Kein Fehler;0.0
P0300;10.56;0.19;3.01;Bestanden;Kein Fehler;0.0
P0301;10.83;0.02;2.96;Bestanden;Kein Fehler;0.0
P0302;10.25;0.12;3.31;Bestanden;Kein Fehler;0.0
P0303;10.23;0.15;1.94;Bestanden;Kein Fehler;0.0
P0304;9.89;0.17;3.26;Bestanden;Kein Fehler;0.0
P0305;10.12;0.12;3.03;Bestanden;Kein Fehler;0.0
P0306;10.43;0.13;3.43;Bestanden;Kein Fehler;0.0
P0307;10.55;0.09;3.04;Bestanden;Kein Fehler;0.0
P0308;10.4;0.19;3.93;Bestanden;Kein Fehler;0.0
P0309;10.38;0.01;3.26;Nacharbeit;Unzureichender Prüfdruck;227.22
P0310;10.35;0.13;2.93;Bestanden;Kein Fehler;0.0
P0311;11.2;0.08;2.61;Bestanden;Kein Fehler;0.0
P0312;10.08;0.22;3.02;Bestanden;Kein Fehler;0.0
P0313;10.53;0.11;2.91;Bestanden;Kein Fehler;0.0
P0314;9.9;0.07;3.88;Nacharbeit;Materialfehler;509.64
P0315;10.79;0.19;3.75;Bestanden;Kein Fehler;0.0
P0316;10.78;0.16;3.11;Bestanden;Kein Fehler;0.0
P0317;9.29;0.1;2.74;Bestanden;Kein Fehler;0.0
P0318;9.24;0.62;5.34;Nacharbeit;Undichtigkeit;254.15
P0319;10.79;0.06;2.23;Bestanden;Kein Fehler;0.0
P0320;10.43;0.08;2.01;Bestanden;Kein Fehler;0.0
P0321;10.0;0.18;3.09;Bestanden;Kein Fehler;0.0
P0322;10.47;0.14;1.81;Bestanden;Kein Fehler;0.0
P0323;10.51;0.11;3.21;Bestanden;Kein Fehler;0.0
P0324;10.45;0.13;2.26;Bestanden;Kein Fehler;0.0
P0325;10.86;0.15;1.9;Bestanden;Kein Fehler;0.0
P0326;11.19;0.14;3.75;Bestanden;Kein Fehler;0.0
P0327;10.32;0.08;4.0;Bestanden;Kein Fehler;0.0
P0328;9.64;0.37;1.93;Nacharbeit;Unzureichender Prüfdruck;201.66
P0329;10.49;0.14;2.56;Bestanden;Kein Fehler;0.0
P0330;10.61;0.14;3.31;Bestanden;Kein Fehler;0.0
P0331;10.35;0.15;2.0;Bestanden;Kein Fehler;0.0
P0332;10.73;0.06;2.08;Bestanden;Kein Fehler;0.0
P0333;10.42;0.16;3.12;Bestanden;Kein Fehler;0.0
P0334;11.28;0.15;2.93;Bestanden;Kein Fehler;0.0
P0335;10.44;0.08;2.54;Bestanden;Kein Fehler;0.0
P0336;9.86;0.06;3.48;Nacharbeit;Materialfehler;433.85
P0337;11.07;0.17;3.46;Bestanden;Kein Fehler;0.0
P0338;10.24;0.24;2.05;Bestanden;Kein Fehler;0.0
P0339;10.46;0.04;3.8;Bestanden;Kein Fehler;0.0
P0340;10.94;0.08;3.07;Bestanden;Kein Fehler;0.0
P0341;9.66;0.2;2.41;Bestanden;Kein Fehler;0.0
P0342;10.15;0.14;2.84;Bestanden;Kein Fehler;0.0
P0343;11.03;0.12;3.72;Bestanden;Kein Fehler;0.0
P0344;10.78;0.02;4.23;Bestanden;Kein Fehler;0.0
P0345;9.52;0.3;6.09;Ausschuss;Erhöhte Vibration;2937.78
P0346;10.7;0.15;3.52;Bestanden;Kein Fehler;0.0
P0347;9.89;0.13;2.62;Bestanden;Kein Fehler;0.0
P0348;10.09;0.07;3.01;Bestanden;Kein Fehler;0.0
P0349;10.06;0.19;3.35;Bestanden;Kein Fehler;0.0
P0350;10.5;0.03;2.64;Bestanden;Kein Fehler;0.0
P0351;9.29;0.03;5.19;Nacharbeit;Unzureichender Prüfdruck;463.39
P0352;9.81;0.12;3.93;Bestanden;Kein Fehler;0.0
P0353;10.9;0.04;3.18;Bestanden;Kein Fehler;0.0
P0354;10.48;0.15;3.27;Bestanden;Kein Fehler;0.0
P0355;10.94;0.17;3.36;Bestanden;Kein Fehler;0.0
P0356;10.13;0.21;2.61;Bestanden;Kein Fehler;0.0
P0357;10.74;0.14;1.9;Bestanden;Kein Fehler;0.0
P0358;11.14;0.17;2.21;Bestanden;Kein Fehler;0.0
P0359;10.44;0.13;2.53;Bestanden;Kein Fehler;0.0
P0360;11.23;0.19;3.48;Bestanden;Kein Fehler;0.0
P0361;10.88;0.09;2.63;Bestanden;Kein Fehler;0.0
P0362;10.3;0.09;2.85;Bestanden;Kein Fehler;0.0
P0363;10.94;0.08;2.65;Bestanden;Kein Fehler;0.0
P0364;11.25;0.08;2.86;Bestanden;Kein Fehler;0.0
P0365;9.48;0.09;2.83;Bestanden;Kein Fehler;0.0
P0366;10.96;0.19;3.18;Bestanden;Kein Fehler;0.0
P0367;10.9;0.11;3.11;Bestanden;Kein Fehler;0.0
P0368;10.23;0.0;2.62;Bestanden;Kein Fehler;0.0
P0369;10.17;0.3;3.35;Bestanden;Kein Fehler;0.0
P0370;10.56;0.1;3.7;Bestanden;Kein Fehler;0.0
P0371;10.17;0.04;3.0;Bestanden;Kein Fehler;0.0
P0372;9.74;0.12;2.58;Bestanden;Kein Fehler;0.0
P0373;10.79;0.12;3.12;Bestanden;Kein Fehler;0.0
P0374;10.65;0.15;2.16;Bestanden;Kein Fehler;0.0
P0375;10.19;0.08;4.38;Bestanden;Kein Fehler;0.0
P0376;10.44;0.09;2.37;Bestanden;Kein Fehler;0.0
P0377;10.12;0.11;3.13;Bestanden;Kein Fehler;0.0
P0378;10.97;0.09;1.44;Bestanden;Kein Fehler;0.0
P0379;9.43;0.19;2.68;Bestanden;Kein Fehler;0.0
P0380;10.2;0.13;0.72;Bestanden;Kein Fehler;0.0
P0381;10.11;0.14;7.01;Nacharbeit;Erhöhte Vibration;223.43
P0382;10.82;0.2;3.13;Bestanden;Kein Fehler;0.0
P0383;11.42;0.09;2.94;Bestanden;Kein Fehler;0.0
P0384;10.44;0.12;2.85;Bestanden;Kein Fehler;0.0
P0385;10.16;0.12;2.34;Bestanden;Kein Fehler;0.0
P0386;10.14;0;2.88;Bestanden;Kein Fehler;0.0
P0387;10.42;0.16;3.37;Bestanden;Kein Fehler;0.0
P0388;11.09;0.15;3.3;Bestanden;Kein Fehler;0.0
P0389;10.78;0.15;2.62;Bestanden;Kein Fehler;0.0
P0390;9.73;0.14;3.03;Bestanden;Kein Fehler;0.0
P0391;10.27;0.1;2.28;Bestanden;Kein Fehler;0.0
P0392;10.64;0.13;2.69;Bestanden;Kein Fehler;0.0
P0393;11.09;0.05;3.82;Bestanden;Kein Fehler;0.0
P0394;11.16;0.24;2.13;Bestanden;Kein Fehler;0.0
P0395;10.72;0.14;3.02;Bestanden;Kein Fehler;0.0
P0396;10.43;0.14;2.47;Bestanden;Kein Fehler;0.0
P0397;10.34;0.1;2.64;Bestanden;Kein Fehler;0.0
P0398;10.14;0.1;3.94;Bestanden;Kein Fehler;0.0
P0399;10.03;0.35;2.97;Nacharbeit;Montagefehler;134.18
P0400;10.58;0.01;2.49;Bestanden;Kein Fehler;0.0
P0401;10.62;0.1;2.07;Bestanden;Kein Fehler;0.0
P0402;10.08;0.2;2.64;Bestanden;Kein Fehler;0.0
