Pumpen_ID;Pumpentyp;Produktionsdatum;Produktionslinie;Schicht;Materialcharge;Lieferant
P0062;KP-400;2025-05-23;Linie 2;Nacht;CH-013;Lieferant E
P0063;KP-100;2025-03-25;Linie 1;Früh;CH-009;Lieferant D
P0064;KP-200;2025-04-05;Linie 1;Nacht;CH-008;Lieferant A
P0065;KP-200;2025-06-25;Linie 2;Nacht;CH-002;Lieferant D
P0066;KP-300;2025-05-25;Linie 3;Früh;CH-003;Lieferant B
P0067;KP-400;2025-06-19;Linie 3;Spät;CH-002;Lieferant D
P0068;KP-200;2025-01-12;Linie 2;Spät;CH-010;Lieferant A
P0069;KP-300;2025-01-17;Linie 2;Nacht;CH-003;Lieferant B
P0070;KP-100;2025-02-25;Linie 2;Nacht;CH-014;Lieferant C
P0071;KP-300;2025-01-25;Linie 2;Früh;CH-007;Lieferant A
P0072;KP-200;2025-04-01;Linie 3;Früh;CH-005;Lieferant B
P0073;KP-300;2025-06-18;Linie 2;Spät;CH-010;Lieferant C
P0074;KP-100;2025-04-07;Linie 2;Früh;CH-004;Lieferant D
P0075;KP-300;2025-05-12;Linie 2;Früh;CH-013;Lieferant B
P0076;KP-200;2025-01-31;Linie 1;Früh;CH-006;Lieferant B
P0077;KP-100;2025-04-20;Linie 1;Nacht;CH-010;Lieferant D
P0078;KP-100;2025-01-21;Linie 3;Früh;CH-009;Lieferant C
P0079;KP-300;2025-03-07;Linie 3;Nacht;CH-003;Lieferant A
P0080;KP-400;2025-06-10;Linie 2;Spät;CH-014;Lieferant C
P0081;KP-300;2025-04-29;Linie 3;Früh;CH-007;Lieferant C
P0082;KP-200;2025-05-10;Linie 3;Nacht;CH-002;Lieferant E
P0083;KP-300;2025-01-25;Linie 1;Spät;CH-006;Lieferant B
P0084;KP-300;2025-04-07;Linie 1;Spät;CH-009;Lieferant A
P0085;KP-400;2025-02-09;Linie 1;Spät;CH-003;Lieferant A
P0086;KP-200;2025-02-12;Linie 1;Nacht;CH-013;Lieferant D
P0087;KP-400;2025-05-27;Linie 3;Nacht;CH-011;Lieferant A
P0088;KP-300;2025-05-13;Linie 3;Spät;CH-014;Lieferant A
P0089;KP-200;2025-04-09;Linie 1;Früh;CH-004;Lieferant C
P0090;KP-300;2025-01-21;Linie 1;Spät;CH-001;Lieferant B
P0091;KP-300;2025-06-02;Linie 2;Früh;CH-008;Lieferant D
P0092;KP-200;2025-05-10;Linie 1;Nacht;CH-013;Lieferant C
P0093;KP-300;2025-04-01;Linie 3;Spät;CH-001;Lieferant B
P0094;KP-200;2025-03-22;Linie 1;Früh;CH-001;Lieferant A
P0095;KP-200;2025-04-23;Linie 1;Früh;CH-012;Lieferant D
P0096;KP-300;2025-03-25;Linie 3;Spät;CH-002;Lieferant B
P0097;KP-100;2025-04-14;Linie 3;Nacht;CH-011;Lieferant A
P0098;KP-200;2025-04-24;Linie 2;Spät;CH-006;Lieferant E
P0099;KP-200;2025-03-15;Linie 1;Früh;CH-010;Lieferant B
P0100;KP-400;2025-03-18;Linie 2;Spät;CH-005;Lieferant C
P0101;KP-100;2025-02-03;Linie 2;Früh;CH-009;Lieferant D
P0102;KP-300;2025-05-22;Linie 2;Spät;CH-015;Lieferant B
P0103;KP-300;2025-01-21;Linie 1;Nacht;CH-014;Lieferant D
P0104;KP-300;2025-01-11;Linie 2;Spät;CH-010;Lieferant D
P0105;KP-300;2025-06-25;Linie 1;Nacht;CH-013;Lieferant B
P0106;KP-400;2025-05-24;Linie 1;Früh;CH-009;Lieferant D
P0107;KP-400;2025-02-10;Linie 3;Nacht;CH-004;Lieferant D
P0108;KP-100;2025-03-15;Linie 2;Nacht;CH-008;Lieferant C
P0109;KP-200;2025-06-09;Linie 1;Spät;CH-005;Lieferant D
P0110;KP-200;2025-05-13;Linie 1;Früh;CH-008;Lieferant B
P0111;KP-300;2025-01-05;Linie 2;Spät;CH-014;Lieferant B
P0112;KP-200;2025-06-08;Linie 2;Spät;CH-011;Lieferant A
P0113;KP-100;2025-01-16;Linie 2;Spät;CH-014;Lieferant B
P0114;KP-300;2025-06-06;Linie 3;Spät;CH-005;Lieferant D
P0115;KP-200;2025-02-01;Linie 2;Nacht;CH-005;Lieferant D
P0116;KP-300;2025-06-28;Linie 1;Nacht;CH-009;Lieferant B
P0117;KP-200;2025-02-10;Linie 2;Früh;CH-015;Lieferant E
P0118;KP-200;2025-02-14;Linie 2;Spät;CH-015;Lieferant E
P0119;KP-100;2025-03-14;Linie 1;Spät;CH-006;Lieferant E
P0120;KP-300;2025-05-26;Linie 2;Früh;CH-005;Lieferant B
P0121;KP-200;2025-03-10;Linie 3;Früh;CH-008;Lieferant B
P0122;KP-200;2025-06-13;Linie 3;Spät;CH-002;Lieferant B
P0123;KP-200;2025-06-24;Linie 2;Spät;CH-004;Lieferant A
P0124;KP-200;2025-05-06;Linie 2;Früh;CH-010;Lieferant A
P0125;KP-200;2025-04-19;Linie 3;Spät;CH-001;Lieferant C
P0126;KP-400;2025-04-25;Linie 2;Früh;CH-007;Lieferant E
P0127;KP-200;2025-03-18;Linie 2;Früh;CH-001;Lieferant A
P0128;KP-100;2025-01-05;Linie 2;Spät;CH-015;Lieferant E
P0129;KP-100;2025-03-23;Linie 3;Früh;CH-010;Lieferant E
P0130;KP-200;2025-05-07;Linie 2;Früh;CH-009;Lieferant C
P0131;KP-100;2025-01-15;Linie 1;Nacht;CH-008;Lieferant A
P0132;KP-300;2025-01-11;Linie 1;Früh;CH-010;Lieferant C
P0133;KP-400;2025-03-04;Linie 3;Früh;CH-008;Lieferant E
P0134;KP-400;2025-03-23;Linie 2;Nacht;CH-013;Lieferant D
P0135;KP-100;2025-05-21;Linie 1;Früh;CH-008;Lieferant D
P0136;KP-300;2025-01-16;Linie 2;Nacht;CH-011;Lieferant C
P0137;KP-100;2025-06-07;Linie 2;Früh;CH-015;Lieferant C
P0138;KP-300;2025-01-25;Linie 2;Nacht;CH-015;Lieferant A
P0139;KP-300;2025-06-16;Linie 1;Nacht;CH-014;Lieferant A
P0140;KP-200;2025-02-28;Linie 3;Früh;CH-001;Lieferant C
P0141;KP-400;2025-04-12;Linie 1;Nacht;CH-013;Lieferant C
P0142;KP-300;2025-04-22;Linie 1;Spät;CH-002;Lieferant B
P0143;KP-100;2025-06-19;Linie 2;Früh;CH-010;Lieferant A
P0144;KP-200;2025-03-11;Linie 1;Nacht;CH-013;Lieferant B
P0145;KP-400;2025-05-24;Linie 1;Früh;CH-012;Lieferant D
P0146;KP-200;2025-06-10;Linie 2;Früh;CH-004;Lieferant B
P0147;KP-200;2025-03-24;Linie 3;Spät;CH-005;Lieferant C
P0148;KP-200;2025-05-25;Linie 1;Spät;CH-015;Lieferant B
P0149;KP-100;2025-06-12;Linie 3;Spät;CH-003;Lieferant C
P0150;KP-400;2025-05-18;Linie 2;Früh;CH-012;Lieferant E
P0151;KP-400;2025-03-08;Linie 1;Spät;CH-002;Lieferant A
P0152;KP-400;2025-01-30;Linie 2;Früh;CH-002;Lieferant E
P0153;KP-300;2025-02-12;Linie 1;Früh;CH-013;Lieferant A
P0154;KP-300;2025-06-01;Linie 1;Spät;CH-008;Lieferant D
P0155;KP-100;2025-03-22;Linie 1;Spät;CH-011;Lieferant B
P0156;KP-100;2025-04-06;Linie 1;Früh;CH-003;Lieferant B
P0157;KP-200;2025-06-08;Linie 2;Früh;CH-008;Lieferant B
P0158;KP-300;2025-02-26;Linie 2;Früh;CH-013;Lieferant A
P0159;KP-300;2025-04-23;Linie 3;Früh;CH-001;Lieferant D
P0160;KP-200;2025-05-31;Linie 3;Spät;CH-013;Lieferant A
P0161;KP-200;2025-03-10;Linie 1;Nacht;CH-010;Lieferant B
P0162;KP-100;2025-05-06;Linie 1;Früh;CH-007;Lieferant D
P0163;KP-400;2025-01-24;Linie 2;Spät;CH-014;Lieferant C
P0164;KP-300;2025-03-29;Linie 1;Spät;CH-008;Lieferant C
P0165;KP-200;2025-02-10;Linie 3;Nacht;CH-005;Lieferant D
P0166;KP-100;2025-02-27;Linie 1;Früh;CH-010;Lieferant A
P0167;KP-300;2025-02-04;Linie 1;Früh;CH-007;Lieferant B
P0168;KP-300;2025-02-01;Linie 2;Früh;CH-003;Lieferant D
P0169;KP-300;2025-02-22;Linie 2;Nacht;CH-005;Lieferant C
P0170;KP-200;2025-03-23;Linie 2;Nacht;CH-015;Lieferant E
P0171;KP-100;2025-03-15;Linie 1;Früh;CH-009;Lieferant D
P0172;KP-100;2025-06-16;Linie 3;Spät;CH-011;Lieferant B
P0173;KP-200;2025-02-05;Linie 2;Spät;CH-012;Lieferant A
P0174;KP-400;2025-05-15;Linie 3;Früh;CH-005;Lieferant D
P0175;KP-100;2025-01-01;Linie 2;Spät;CH-009;Lieferant A
P0176;KP-300;2025-03-23;Linie 2;Früh;CH-012;Lieferant B
P0177;KP-200;2025-04-27;Linie 1;Nacht;CH-009;Lieferant B
P0178;KP-400;2025-01-07;Linie 3;Früh;CH-007;Lieferant A
P0179;KP-200;2025-03-13;Linie 1;Spät;CH-003;Lieferant A
P0180;KP-200;2025-03-22;Linie 2;Nacht;CH-005;Lieferant A
P0181;KP-100;2025-02-23;Linie 2;Früh;CH-006;Lieferant A
P0182;KP-100;2025-06-23;Linie 2;Nacht;CH-001;Lieferant B
P0183;KP-300;2025-06-11;Linie 1;Früh;CH-011;Lieferant B
P0184;KP-300;2025-02-13;Linie 3;Früh;CH-001;Lieferant E
P0185;KP-100;2025-04-16;Linie 2;Spät;CH-008;Lieferant C
P0186;KP-100;2025-05-05;Linie 1;Spät;CH-013;Lieferant B
P0187;KP-200;2025-01-26;Linie 1;Spät;CH-003;Lieferant A
P0188;KP-400;2025-06-28;Linie 3;Früh;CH-006;Lieferant A
P0189;KP-200;2025-02-26;Linie 1;Früh;CH-010;Lieferant A
P0190;KP-100;2025-04-04;Linie 2;Früh;CH-009;Lieferant A
P0191;KP-400;2025-06-07;Linie 2;Früh;CH-012;Lieferant E
P0192;KP-200;2025-03-23;Linie 3;Nacht;CH-010;Lieferant A
P0193;KP-400;2025-03-27;Linie 1;Spät;CH-015;Lieferant C
P0194;KP-400;2025-05-03;Linie 2;Früh;CH-002;Lieferant C
P0195;KP-100;2025-06-02;Linie 1;Nacht;CH-006;Lieferant E
P0196;KP-400;2025-01-13;Linie 2;Spät;CH-002;Lieferant B
P0197;KP-100;2025-03-20;Linie 2;Nacht;CH-002;Lieferant B
P0198;KP-200;2025-06-28;Linie 1;Nacht;CH-003;Lieferant C
P0199;KP-200;2025-03-18;Linie 3;Spät;CH-008;Lieferant D
P0200;KP-100;2025-01-11;Linie 3;Nacht;CH-003;Lieferant D
P0201;KP-200;2025-01-04;Linie 1;Früh;CH-008;Lieferant B
P0202;KP-200;2025-04-16;Linie 1;Früh;CH-006;Lieferant C
P0203;KP-400;2025-04-06;Linie 2;Früh;CH-005;Lieferant B
P0204;KP-200;2025-01-23;Linie 3;Früh;CH-011;Lieferant B
P0205;KP-200;2025-02-14;Linie 1;Nacht;CH-001;Lieferant D
P0206;KP-300;2025-04-25;Linie 1;Früh;CH-010;Lieferant B
P0207;KP-100;2025-02-27;Linie 2;Nacht;CH-011;Lieferant D
P0208;KP-100;2025-06-14;Linie 1;Nacht;CH-012;Lieferant B
P0209;KP-400;2025-06-05;Linie 3;Nacht;CH-010;Lieferant C
P0210;KP-100;2025-06-03;Linie 2;Früh;CH-014;Lieferant A
P0211;KP-400;2025-05-17;Linie 3;Früh;CH-011;Lieferant D
P0212;KP-300;2025-03-27;Linie 2;Spät;CH-011;Lieferant E
P0213;KP-100;2025-02-19;Linie 2;Spät;CH-008;Lieferant C
P0214;KP-400;2025-01-21;Linie 2;Früh;CH-013;Lieferant D
P0215;KP-300;2025-04-20;Linie 1;Spät;CH-007;Lieferant C
P0216;KP-300;2025-01-27;Linie 1;Spät;CH-003;Lieferant B
P0217;KP-400;2025-02-12;Linie 1;Nacht;CH-004;Lieferant B
P0218;KP-300;2025-06-09;Linie 1;Nacht;CH-009;Lieferant B
P0219;KP-100;2025-01-26;Linie 2;Spät;CH-011;Lieferant B
P0220;KP-100;2025-04-02;Linie 1;Früh;CH-004;Lieferant C
P0221;KP-100;2025-03-07;Linie 1;Spät;CH-002;Lieferant D
P0222;KP-200;2025-02-05;Linie 1;Nacht;CH-001;Lieferant D
P0223;KP-400;2025-04-18;Linie 1;Früh;CH-013;Lieferant D
P0224;KP-300;2025-06-25;Linie 1;Früh;CH-001;Lieferant B
P0225;KP-300;2025-03-28;Linie 2;Früh;CH-014;Lieferant E
P0226;KP-400;2025-05-01;Linie 2;Früh;CH-009;Lieferant E
P0227;KP-100;2025-05-08;Linie 2;Nacht;CH-014;Lieferant B
P0228;KP-200;2025-01-14;Linie 1;Spät;CH-006;Lieferant E
P0229;KP-100;2025-05-14;Linie 1;Spät;CH-009;Lieferant D
P0230;KP-400;2025-01-28;Linie 1;Nacht;CH-006;Lieferant A
P0231;KP-100;2025-05-04;Linie 2;Spät;CH-010;Lieferant B
P0232;KP-400;2025-03-12;Linie 2;Spät;CH-004;Lieferant C
P0233;KP-200;2025-06-09;Linie 2;Spät;CH-004;Lieferant A
P0234;KP-300;2025-04-17;Linie 2;Spät;CH-012;Lieferant E
P0235;KP-100;2025-01-16;Linie 3;Nacht;CH-003;Lieferant C
P0236;KP-200;2025-06-27;Linie 1;Spät;CH-005;Lieferant D
P0237;KP-300;2025-05-31;Linie 3;Spät;CH-013;Lieferant C
P0238;KP-200;2025-03-07;Linie 2;Spät;CH-010;Lieferant A
P0239;KP-300;2025-02-26;Linie 2;Früh;CH-009;Lieferant D
P0240;KP-100;2025-06-16;Linie 3;Spät;CH-009;Lieferant B
P0241;KP-400;2025-05-13;Linie 1;Spät;CH-015;Lieferant B
P0242;KP-400;2025-06-11;Linie 2;Früh;CH-011;Lieferant A
P0243;KP-300;2025-01-19;Linie 1;Spät;CH-002;Lieferant B
P0244;KP-300;2025-05-30;Linie 2;Spät;CH-013;Lieferant C
P0245;KP-300;2025-04-11;Linie 1;Früh;CH-012;Lieferant A
P0246;KP-100;2025-06-02;Linie 3;Früh;CH-010;Lieferant A
P0247;KP-100;2025-05-26;Linie 2;Früh;CH-011;Lieferant A
P0248;KP-100;2025-02-19;Linie 2;Früh;CH-015;Lieferant C
P0249;KP-100;2025-04-03;Linie 1;Spät;CH-014;Lieferant B
P0250;KP-400;2025-06-10;Linie 1;Spät;CH-015;Lieferant B
P0251;KP-200;2025-04-11;Linie 3;Spät;CH-006;Lieferant D
P0252;KP-300;2025-02-10;Linie 2;Früh;CH-008;Lieferant C
P0253;KP-200;2025-04-10;Linie 1;Früh;CH-006;Lieferant E
P0254;KP-200;2025-01-20;Linie 1;Spät;CH-011;Lieferant B
P0255;KP-100;2025-02-08;Linie 1;Früh;CH-004;Lieferant C
P0256;KP-100;2025-06-01;Linie 3;Früh;CH-010;Lieferant A
P0257;KP-100;2025-02-25;Linie 2;Spät;CH-002;Lieferant B
P0258;KP-100;2025-01-18;Linie 2;Früh;CH-010;Lieferant B
P0259;KP-300;2025-01-24;Linie 1;Spät;CH-002;Lieferant C
P0260;KP-200;2025-03-31;Linie 1;Nacht;CH-007;Lieferant D
P0261;KP-400;2025-01-02;Linie 2;Früh;CH-013;Lieferant D
P0262;KP-400;2025-04-12;Linie 2;Früh;CH-011;Lieferant B
P0263;KP-300;2025-06-29;Linie 3;Spät;CH-008;Lieferant D
P0264;KP-200;2025-01-21;Linie 2;Früh;CH-006;Lieferant B
P0265;KP-400;2025-06-03;Linie 3;Spät;CH-013;Lieferant A
P0266;KP-100;2025-03-14;Linie 1;Spät;CH-009;Lieferant E
P0267;KP-100;2025-01-30;Linie 2;Spät;CH-006;Lieferant C
P0268;KP-400;2025-05-04;Linie 2;Spät;CH-001;Lieferant C
P0269;KP-300;2025-03-29;Linie 1;Früh;CH-014;Lieferant C
P0270;KP-100;2025-03-05;Linie 2;Nacht;CH-004;Lieferant A
P0271;KP-200;2025-05-06;Linie 3;Nacht;CH-005;Lieferant C
P0272;KP-200;2025-06-28;Linie 3;Spät;CH-002;Lieferant B
P0273;KP-100;2025-02-23;Linie 3;Früh;CH-007;Lieferant A
P0274;KP-300;2025-02-08;Linie 2;Nacht;CH-013;Lieferant A
P0275;KP-400;2025-03-07;Linie 1;Früh;CH-004;Lieferant A
P0276;KP-400;2025-05-18;Linie 3;Früh;CH-011;Lieferant C
P0277;KP-100;2025-06-06;Linie 1;Nacht;CH-011;Lieferant B
P0278;KP-200;2025-04-16;Linie 3;Früh;CH-008;Lieferant C
P0279;KP-400;2025-01-22;Linie 2;Früh;CH-009;Lieferant D
P0280;KP-100;2025-05-02;Linie 1;Früh;CH-014;Lieferant E
P0281;KP-400;2025-03-30;Linie 2;Spät;CH-015;Lieferant C
P0282;KP-100;2025-05-03;Linie 2;Spät;CH-013;Lieferant B
P0283;KP-300;2025-04-19;Linie 2;Nacht;CH-002;Lieferant A
P0284;KP-100;2025-03-11;Linie 1;Früh;CH-008;Lieferant B
P0285;KP-100;2025-03-21;Linie 1;Früh;CH-007;Lieferant A
P0286;KP-200;2025-01-04;Linie 1;Nacht;CH-007;Lieferant B
P0287;KP-400;2025-02-10;Linie 2;Spät;CH-006;Lieferant B
P0288;KP-100;2025-05-30;Linie 2;Früh;CH-005;Lieferant A
P0289;KP-100;2025-01-16;Linie 2;Nacht;CH-011;Lieferant E
P0290;KP-200;2025-03-06;Linie 1;Spät;CH-003;Lieferant B
P0291;KP-300;2025-04-26;Linie 3;Spät;CH-003;Lieferant A
P0292;KP-300;2025-05-22;Linie 2;Früh;CH-008;Lieferant C
P0293;KP-100;2025-06-18;Linie 1;Früh;CH-007;Lieferant C
P0294;KP-300;2025-04-17;Linie 2;Spät;CH-012;Lieferant B
P0295;KP-200;2025-05-23;Linie 1;Spät;CH-003;Lieferant C
P0296;KP-200;2025-04-01;Linie 1;Früh;CH-008;Lieferant E
P0297;KP-200;2025-04-25;Linie 2;Spät;CH-008;Lieferant B
P0298;KP-400;2025-05-27;Linie 3;Nacht;CH-010;Lieferant C
P0299;KP-400;2025-05-05;Linie 2;Spät;CH-003;Lieferant D
P0300;KP-300;2025-01-31;Linie 1;Nacht;CH-014;Lieferant B
P0301;KP-100;2025-04-11;Linie 2;Früh;CH-012;Lieferant A
P0302;KP-200;2025-02-03;Linie 1;Früh;CH-012;Lieferant B
P0303;KP-200;2025-04-19;Linie 2;Spät;CH-007;Lieferant A
P0304;KP-200;2025-01-22;Linie 3;Früh;CH-003;Lieferant C
P0305;KP-100;2025-03-08;Linie 1;Spät;CH-009;Lieferant A
P0306;KP-100;2025-01-18;Linie 2;Früh;CH-001;Lieferant B
P0307;KP-400;2025-01-23;Linie 1;Früh;CH-009;Lieferant D
P0308;KP-200;2025-03-12;Linie 1;Spät;CH-009;Lieferant A
P0309;KP-300;2025-06-10;Linie 1;Früh;CH-010;Lieferant E
P0310;KP-100;2025-02-07;Linie 2;Nacht;CH-007;Lieferant E
P0311;KP-200;2025-06-13;Linie 3;Nacht;CH-012;Lieferant B
P0312;KP-100;2025-02-04;Linie 2;Früh;CH-008;Lieferant C
P0313;KP-100;2025-02-22;Linie 1;Früh;CH-004;Lieferant D
P0314;KP-300;2025-05-27;Linie 1;Früh;CH-012;Lieferant C
P0315;KP-200;2025-04-23;Linie 2;Spät;CH-005;Lieferant A
P0316;KP-200;2025-06-28;Linie 2;Früh;CH-015;Lieferant D
P0317;KP-300;2025-01-30;Linie 2;Früh;CH-002;Lieferant D
P0318;KP-100;2025-02-07;Linie 1;Nacht;CH-003;Lieferant D
P0319;KP-200;2025-05-07;Linie 3;Spät;CH-015;Lieferant A
P0320;KP-300;2025-02-07;Linie 1;Früh;CH-001;Lieferant C
P0321;KP-300;2025-05-29;Linie 2;Spät;CH-008;Lieferant A
P0322;KP-100;2025-06-28;Linie 3;Früh;CH-004;Lieferant B
P0323;KP-200;2025-04-01;Linie 3;Früh;CH-010;Lieferant C
P0324;KP-100;2025-06-07;Linie 2;Spät;CH-004;Lieferant D
P0325;KP-200;2025-04-12;Linie 1;Früh;CH-006;Lieferant C
P0326;KP-200;2025-04-29;Linie 2;Nacht;CH-006;Lieferant C
P0327;KP-300;2025-01-08;Linie 3;Früh;CH-005;Lieferant E
P0328;KP-300;2025-04-26;Linie 1;Früh;CH-006;Lieferant D
P0329;KP-200;2025-02-06;Linie 2;Nacht;CH-006;Lieferant B
P0330;KP-200;2025-04-30;Linie 1;Nacht;CH-006;Lieferant D
P0331;KP-200;2025-03-12;Linie 3;Spät;CH-003;Lieferant B
P0332;KP-100;2025-02-03;Linie 1;Nacht;CH-001;Lieferant C
P0333;KP-200;2025-06-21;Linie 1;Früh;CH-013;Lieferant A
P0334;KP-300;2025-06-07;Linie 3;Spät;CH-003;Lieferant E
P0335;KP-200;2025-02-02;Linie 3;Früh;CH-010;Lieferant B
P0336;KP-100;2025-06-27;Linie 1;Spät;CH-004;Lieferant A
P0337;KP-200;2025-01-18;Linie 2;Nacht;CH-007;Lieferant A
P0338;KP-300;2025-05-17;Linie 3;Spät;CH-008;Lieferant C
P0339;KP-300;2025-05-11;Linie 3;Nacht;CH-010;Lieferant C
P0340;KP-400;2025-04-08;Linie 1;Spät;CH-006;Lieferant B
P0341;KP-400;2025-05-05;Linie 1;Früh;CH-003;Lieferant C
P0342;KP-200;2025-02-17;Linie 2;Nacht;CH-004;Lieferant B
P0343;KP-200;2025-02-06;Linie 1;Spät;CH-002;Lieferant E
P0344;KP-300;2025-03-21;Linie 2;Spät;CH-010;Lieferant C
P0345;KP-100;2025-05-25;Linie 1;Spät;CH-005;Lieferant C
P0346;KP-100;2025-01-29;Linie 2;Früh;CH-012;Lieferant B
P0347;KP-100;2025-02-09;Linie 3;Nacht;CH-014;Lieferant C
P0348;KP-100;2025-03-19;Linie 3;Früh;CH-008;Lieferant B
P0349;KP-300;2025-01-25;Linie 1;Früh;CH-001;Lieferant C
P0350;KP-200;2025-02-19;Linie 3;Spät;CH-010;Lieferant D
P0351;KP-200;2025-01-24;Linie 2;Früh;CH-010;Lieferant A
P0352;KP-300;2025-04-30;Linie 1;Früh;CH-005;Lieferant A
P0353;KP-100;2025-03-09;Linie 1;Früh;CH-005;Lieferant E
P0354;KP-100;2025-05-27;Linie 2;Früh;CH-002;Lieferant A
P0355;KP-200;2025-04-22;Linie 1;Spät;CH-008;Lieferant D
P0356;KP-400;2025-01-24;Linie 1;Früh;CH-011;Lieferant A
P0357;KP-100;2025-01-22;Linie 1;Früh;CH-008;Lieferant C
P0358;KP-200;2025-01-10;Linie 3;Nacht;CH-001;Lieferant E
P0359;KP-300;2025-06-17;Linie 1;Früh;CH-008;Lieferant D
P0360;KP-300;2025-05-08;Linie 3;Früh;CH-002;Lieferant D
P0361;KP-200;2025-06-01;Linie 1;Nacht;CH-001;Lieferant A
P0362;KP-300;2025-05-05;Linie 2;Früh;CH-015;Lieferant A
P0363;KP-100;2025-06-06;Linie 1;Spät;CH-003;Lieferant A
